@relation Sony

@attribute class {1,2}
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric

@data
2,0.993636,2.27378,2.913852,2.27378,1.633708,0.140206,-0.713223,-1.139938,-0.926581,-0.499866,-0.926581,-1.566653,-1.78001,-1.993368,-2.206726,-1.78001,-1.353295,-0.713223,-0.499866,-0.286508,0.353564,0.353564,0.780278,0.780278,0.780278,0.566921,0.566921,0.353564,0.566921,0.566921,0.566921,0.353564,0.353564,0.140206,0.140206,0.353564,0.140206,0.353564,0.566921,0.780278,0.780278,1.206993,1.420351,1.420351,0.353564,-0.286508,-0.713223,-0.926581,-0.926581,-0.713223,-0.713223,-1.139938,-1.566653,-1.353295,-1.139938,-0.499866,0.140206,0.140206,0.140206,0.140206,0.140206,0.353564,0.353564,0.140206,-0.073151,-0.073151,-0.073151,0.140206,0.140206,-0.073151
1,-0.060775,-0.344394,1.924557,3.62627,1.924557,0.506462,-0.628013,-1.195251,-0.911632,0.222843,1.357319,0.506462,-1.195251,-2.329727,-2.046108,-0.911632,-0.344394,-0.344394,-0.911632,-0.911632,-0.344394,0.222843,0.222843,0.506462,0.790081,0.790081,0.790081,0.790081,0.790081,0.790081,1.0737,0.790081,0.506462,0.222843,0.222843,0.222843,0.222843,-0.060775,0.790081,1.0737,0.790081,0.506462,0.222843,0.222843,-0.344394,-1.195251,-2.046108,-1.47887,-0.344394,0.506462,0.222843,-1.195251,-2.046108,-1.762489,-1.195251,-0.344394,0.506462,0.790081,0.506462,0.222843,-0.060775,-0.060775,-0.060775,-0.344394,-0.344394,-0.060775,0.222843,0.222843,-0.060775,-0.344394
2,0.611645,1.317389,2.023134,2.258382,2.023134,1.787886,0.376397,-0.799844,-1.505588,-1.976084,-1.27034,-0.799844,-1.27034,-1.505588,-1.976084,-1.505588,-1.035092,-0.799844,-0.329347,-0.329347,0.141149,0.376397,0.611645,0.846893,0.611645,0.611645,0.376397,0.376397,0.141149,0.141149,0.141149,0.141149,0.141149,0.376397,0.141149,0.141149,0.141149,0.611645,1.082141,1.317389,0.376397,0.376397,1.552638,2.023134,1.552638,0.141149,-0.564595,-1.27034,-1.505588,-0.799844,-0.094099,-0.094099,-0.799844,-1.505588,-1.740836,-1.035092,-0.094099,0.611645,0.611645,0.376397,0.376397,0.141149,0.141149,-0.094099,-0.329347,-0.564595,-0.564595,-0.564595,-0.329347,-0.094099
2,0.644497,1.203772,1.949471,2.135895,2.135895,1.390196,0.458072,-0.660476,-1.219751,-1.406176,-1.219751,-0.846901,-0.846901,-1.406176,-1.779025,-1.5926,-1.219751,-0.846901,-0.474052,-0.474052,-0.287627,0.085223,0.271648,0.458072,0.458072,0.458072,0.458072,0.458072,0.271648,0.085223,0.085223,0.085223,0.085223,0.271648,0.085223,0.085223,0.085223,0.644497,1.017347,1.390196,1.203772,1.203772,1.763046,2.135895,1.763046,0.644497,-0.101202,-0.660476,-1.219751,-1.219751,-0.660476,-0.660476,-1.406176,-1.96545,-1.779025,-1.406176,-0.474052,0.085223,0.458072,0.271648,-0.287627,-0.101202,0.085223,0.271648,0.085223,-0.101202,-0.101202,-0.101202,-0.101202,-0.101202
1,0.805304,1.424768,1.21828,1.837744,1.424768,0.598815,-0.640113,-0.846601,-0.846601,-0.433625,-0.433625,-1.259577,-1.879042,-2.292019,-2.08553,-1.053089,-0.640113,-0.846601,-0.846601,-0.227137,0.392327,0.805304,0.392327,0.185839,-0.020649,-0.020649,0.185839,0.392327,0.392327,-0.020649,-0.020649,-0.020649,-0.020649,0.392327,0.392327,0.392327,0.598815,0.805304,0.598815,0.598815,0.185839,-0.020649,0.185839,1.837744,2.457208,1.424768,0.392327,-1.259577,-1.259577,-0.433625,0.185839,-0.227137,-1.259577,-2.08553,-2.08553,-1.879042,-1.053089,-0.433625,-0.227137,-0.227137,-0.020649,0.392327,1.011792,1.011792,1.011792,1.011792,0.598815,0.598815,0.392327,0.392327
2,1.204219,2.539212,2.539212,2.348499,1.967072,1.013505,-0.321488,-1.084342,-1.465768,-1.465768,-1.084342,-1.275055,-1.275055,-1.275055,-1.275055,-1.275055,-1.084342,-0.893628,-0.512202,-0.321488,-0.130775,0.441365,0.441365,0.250652,0.059938,0.441365,0.441365,0.250652,0.250652,0.250652,0.441365,0.441365,0.441365,0.250652,0.250652,-0.130775,0.441365,1.013505,1.013505,1.013505,1.204219,1.394932,1.585645,1.204219,0.250652,-0.321488,-0.702915,-1.084342,-1.275055,-0.702915,-0.512202,-1.084342,-1.656482,-1.847195,-1.465768,-0.702915,0.059938,0.250652,0.250652,0.059938,0.059938,0.250652,0.250652,0.059938,-0.321488,-0.130775,-0.130775,0.059938,0.059938,0.059938
2,1.182097,2.039577,2.039577,1.825207,0.967727,-0.104123,-0.747232,-1.390342,-1.604712,-1.175972,-0.961602,-1.175972,-1.604712,-1.819082,-1.819082,-1.390342,-0.961602,-0.961602,-0.747232,-0.318493,0.110247,0.324617,0.538987,0.324617,0.324617,0.324617,0.538987,0.324617,0.110247,0.110247,0.324617,0.324617,0.324617,-0.104123,-0.104123,-0.104123,0.324617,0.967727,1.182097,0.753357,1.182097,1.825207,2.039577,1.396467,-0.104123,-0.318493,-1.175972,-1.175972,-0.961602,-0.532862,0.324617,-0.532862,-1.604712,-2.033452,-1.604712,-0.532862,0.324617,0.538987,0.538987,0.538987,0.753357,0.753357,0.538987,0.324617,-0.104123,-0.104123,0.110247,0.324617,0.538987,0.538987
2,1.342361,2.066563,2.066563,2.066563,0.98026,0.256057,-0.649196,-1.192348,-1.373398,-1.373398,-1.011297,-1.011297,-1.554449,-1.91655,-1.91655,-1.554449,-1.192348,-0.830246,-0.649196,-0.287095,-0.106044,0.256057,0.437108,0.437108,0.437108,0.437108,0.437108,0.256057,0.256057,0.256057,0.256057,-0.106044,0.075007,0.256057,0.075007,-0.106044,0.075007,0.256057,0.618158,0.98026,1.523411,2.066563,1.885513,1.16131,-0.106044,-0.649196,-1.011297,-1.192348,-1.373398,-1.011297,-0.468145,-0.830246,-1.373398,-1.735499,-1.011297,-0.468145,0.256057,0.618158,0.437108,0.437108,0.437108,0.618158,0.618158,0.437108,0.437108,0.256057,0.256057,0.437108,0.799209,0.799209
2,0.930539,1.693871,2.457204,2.457204,1.184983,-0.087238,-1.105015,-1.359459,-1.613903,-0.850571,-0.596126,-1.105015,-1.613903,-1.868347,-1.359459,-1.105015,-0.850571,-0.850571,-0.850571,-0.596126,-0.087238,0.167206,0.42165,0.676095,0.676095,0.676095,0.676095,0.676095,0.42165,0.167206,0.42165,0.167206,0.167206,0.167206,-0.087238,0.167206,0.167206,0.167206,-0.341682,0.167206,1.184983,1.948315,2.457204,1.439427,0.167206,-0.596126,-1.105015,-0.850571,-0.596126,-0.087238,-0.087238,-1.105015,-1.868347,-1.868347,-1.359459,-0.341682,0.42165,0.42165,-0.087238,0.167206,0.42165,0.930539,0.676095,0.676095,0.42165,0.167206,0.167206,0.167206,-0.341682,-0.087238
1,-0.338134,0.01514,1.074964,1.781514,1.074964,0.01514,-1.044684,-2.104508,-1.397958,-0.338134,1.074964,0.368415,-0.691409,-1.751233,-1.751233,-1.044684,-0.338134,-0.338134,0.368415,0.368415,0.72169,1.074964,0.72169,1.428239,1.074964,1.074964,0.72169,0.72169,0.368415,0.368415,0.368415,0.01514,0.01514,-0.338134,-0.338134,-0.338134,0.01514,-0.338134,-0.338134,0.368415,0.72169,1.074964,1.074964,-1.044684,-1.044684,0.01514,0.368415,0.72169,-0.338134,-2.104508,-1.751233,-1.751233,-2.457782,-2.104508,-0.691409,0.72169,1.781514,2.134788,1.074964,0.01514,-0.338134,-0.338134,0.01514,0.01514,0.368415,0.368415,0.368415,0.368415,0.368415,0.01514
